epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
104,174.414,0.97217,0.84046,1.28098,0.43397,0.43125,0.3828,0.16492,2.64995,2.50776,3.14202,0.00074015,0.00074015,0.00074015
105,176.002,1.05296,0.84995,1.38443,0.35067,0.50903,0.37329,0.15554,2.55315,2.3603,3.16023,0.0007352,0.0007352,0.0007352
106,177.601,0.91109,0.84838,1.2385,0.47523,0.45903,0.37889,0.14945,2.60133,2.39895,3.25489,0.00073025,0.00073025,0.00073025
107,179.171,0.97685,0.87942,1.2609,0.40144,0.43125,0.31903,0.12809,2.70881,2.36911,3.42669,0.0007253,0.0007253,0.0007253
108,180.817,0.9825,0.8423,1.24218,0.45115,0.39826,0.32035,0.12666,2.67637,2.30166,3.58063,0.00072035,0.00072035,0.00072035
109,182.372,0.87394,0.77262,1.20149,0.36786,0.46273,0.3176,0.12792,2.59525,2.38865,3.51324,0.0007154,0.0007154,0.0007154
110,183.949,0.94622,0.82813,1.23509,0.47757,0.47305,0.40943,0.142,2.54793,2.2979,3.38131,0.00071045,0.00071045,0.00071045
111,185.513,0.91425,0.76401,1.21208,0.56742,0.49375,0.41952,0.14995,2.58632,2.46051,3.32428,0.0007055,0.0007055,0.0007055
112,187.102,0.97122,0.80534,1.29089,0.42421,0.37995,0.35541,0.13053,2.59673,2.58035,3.12113,0.00070055,0.00070055,0.00070055
113,188.699,0.92735,0.80034,1.20576,0.61122,0.31181,0.37723,0.13828,2.63143,2.59033,3.11178,0.0006956,0.0006956,0.0006956
114,190.265,0.87799,0.74496,1.16715,0.60113,0.31181,0.38737,0.13175,2.67718,2.34294,3.21145,0.00069065,0.00069065,0.00069065
115,191.843,0.93603,0.81772,1.21009,0.60017,0.31181,0.38744,0.1436,2.69586,2.34028,3.22143,0.0006857,0.0006857,0.0006857
116,193.5,0.97945,0.8232,1.23456,0.48423,0.31181,0.29815,0.10349,2.70494,2.76653,3.19746,0.00068075,0.00068075,0.00068075
117,195.116,0.96573,0.89217,1.22049,0.35031,0.31562,0.30982,0.12995,2.66546,2.77408,3.16549,0.0006758,0.0006758,0.0006758
118,196.683,0.86547,0.76373,1.17738,0.44001,0.27013,0.30643,0.13619,2.70819,2.79448,3.29466,0.00067085,0.00067085,0.00067085
119,198.262,0.90289,0.77084,1.20014,0.36723,0.42569,0.39825,0.1512,2.65576,2.69121,3.29698,0.0006659,0.0006659,0.0006659
120,199.862,0.88631,0.73895,1.16384,0.39689,0.40258,0.38322,0.15396,2.49646,2.40982,3.14642,0.00066095,0.00066095,0.00066095
121,201.45,0.93056,0.81275,1.18165,0.35572,0.49638,0.34201,0.14225,2.38838,2.51604,3.06093,0.000656,0.000656,0.000656
122,203.027,0.9758,0.84609,1.2308,0.37245,0.41585,0.32485,0.13328,2.4491,2.43925,3.13865,0.00065105,0.00065105,0.00065105
123,204.595,0.81658,0.7027,1.13487,0.40873,0.42222,0.31792,0.11722,2.52848,2.46969,3.24742,0.0006461,0.0006461,0.0006461
124,206.185,0.98494,0.8106,1.28049,0.40609,0.32222,0.29429,0.11929,2.44808,2.71681,3.26323,0.00064115,0.00064115,0.00064115
125,207.783,0.95954,0.84636,1.23494,0.31257,0.4,0.30012,0.13119,2.50812,2.55517,3.30637,0.0006362,0.0006362,0.0006362
126,209.353,0.91089,0.77447,1.16935,0.4336,0.36865,0.35625,0.13178,2.55447,2.47716,3.33505,0.00063125,0.00063125,0.00063125
127,210.926,0.79363,0.68893,1.1353,0.3075,0.42071,0.32106,0.14179,2.63615,2.43398,3.4637,0.0006263,0.0006263,0.0006263
128,212.533,0.7804,0.65459,1.12582,0.39171,0.40694,0.32953,0.12643,2.58057,2.47181,3.44421,0.00062135,0.00062135,0.00062135
129,214.103,0.8329,0.75129,1.14451,0.37327,0.40694,0.32006,0.12752,2.58791,2.62714,3.50015,0.0006164,0.0006164,0.0006164
130,215.699,0.83686,0.72807,1.20953,0.32261,0.49722,0.31206,0.11791,2.5647,2.74289,3.47876,0.00061145,0.00061145,0.00061145
131,217.248,0.8944,0.7267,1.18736,0.31306,0.46597,0.2946,0.11574,2.51675,2.65352,3.43162,0.0006065,0.0006065,0.0006065
132,218.852,0.90693,0.83377,1.21689,0.47631,0.53929,0.40037,0.12411,2.66196,2.56221,3.47706,0.00060155,0.00060155,0.00060155
