epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,112.644,1.80049,1.11113,1.13855,0.49586,0.49243,0.42096,0.15892,2.36477,1.75916,1.52659,0.00103288,0.00103288,0.00103288
58,114.242,1.69785,1.12491,1.13421,0.46121,0.46787,0.40477,0.15711,2.31247,1.81415,1.49349,0.00102581,0.00102581,0.00102581
59,115.823,1.76525,1.08037,1.15985,0.37742,0.4756,0.40178,0.15502,2.32046,1.83166,1.48648,0.00101873,0.00101873,0.00101873
60,117.429,1.66303,1.06049,1.1115,0.39811,0.44875,0.40827,0.1579,2.31055,1.83492,1.49201,0.00101166,0.00101166,0.00101166
61,118.966,1.73851,1.07329,1.14918,0.51721,0.4239,0.41487,0.15806,2.31423,1.81046,1.48955,0.00100459,0.00100459,0.00100459
62,120.548,1.70617,1.14658,1.19198,0.51729,0.40053,0.40444,0.16149,2.3019,1.78331,1.4726,0.000997513,0.000997513,0.000997513
63,122.131,1.60802,1.03853,1.08269,0.5218,0.37663,0.39365,0.16182,2.34341,1.85876,1.48924,0.00099044,0.00099044,0.00099044
64,123.698,1.64977,1.04694,1.10508,0.46871,0.3998,0.40132,0.16613,2.31129,1.92748,1.49116,0.000983366,0.000983366,0.000983366
65,125.267,1.65552,1.01645,1.11623,0.54974,0.40615,0.40763,0.16373,2.31346,1.98947,1.4938,0.000976293,0.000976293,0.000976293
66,126.845,1.70843,1.1233,1.12239,0.53432,0.40183,0.39441,0.15592,2.37581,1.97118,1.50139,0.000969219,0.000969219,0.000969219
67,128.389,1.6732,1.08815,1.10678,0.52752,0.44941,0.4059,0.16599,2.35148,1.86757,1.47582,0.000962146,0.000962146,0.000962146
68,129.967,1.60869,1.06825,1.13374,0.56331,0.49978,0.46918,0.188,2.28313,1.7063,1.44623,0.000955072,0.000955072,0.000955072
69,131.537,1.63173,1.02272,1.08948,0.56145,0.46829,0.46129,0.18142,2.27233,1.6148,1.44016,0.000947999,0.000947999,0.000947999
70,133.071,1.66186,1.0308,1.08797,0.49475,0.46561,0.4357,0.17061,2.31313,1.67178,1.45722,0.000940925,0.000940925,0.000940925
71,134.661,1.6602,1.04638,1.1047,0.5356,0.48856,0.43561,0.17994,2.30422,1.75411,1.48388,0.000933851,0.000933851,0.000933851
72,136.2,1.60644,0.9873,1.11971,0.55188,0.47896,0.44567,0.18682,2.31334,1.78224,1.49006,0.000926778,0.000926778,0.000926778
